name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people
Onesta,Yes,Yes,4.6,2906,080 43712506,Marathahalli,"Casual Dining, Cafe","Ricotta Ravioli, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Mojito, Barbeque Chicken Pizza","Pizza, Cafe, Italian",600
1131 Bar + Kitchen,No,Yes,4.4,2861,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Nachos, Sangria, Craft Beer, Mocktails","Continental, Asian, Italian, North Indian","1,500"
1131 Bar + Kitchen,No,Yes,4.4,2861,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Nachos, Sangria, Craft Beer, Mocktails","Continental, Asian, Italian, North Indian","1,500"
1131 Bar + Kitchen,No,Yes,4.4,2861,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Nachos, Sangria, Craft Beer, Mocktails","Continental, Asian, Italian, North Indian","1,500"
1131 Bar + Kitchen,No,Yes,4.6,2785,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","Continental, Asian, Italian, North Indian","1,500"
1131 Bar + Kitchen,No,Yes,4.6,2785,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","Continental, Asian, Italian, North Indian","1,500"
1131 Bar + Kitchen,No,Yes,4.6,2785,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","Continental, Asian, Italian, North Indian","1,500"
Onesta,Yes,Yes,4.6,2750,080 43712506,Marathahalli,"Casual Dining, Cafe","Mojito, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Ricotta Ravioli, Roast Chicken Pizza","Pizza, Cafe, Italian",600
Cafe Azzure,Yes,Yes,4.2,2747,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.2,2747,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.2,2747,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
The Pallet,No,Yes,4.5,2745,080 49652944,Whitefield,"Microbrewery, Pub","Craft Beer, Wine, Chilli Chicken, Wedges, Lamb, Cocktails, Masala Peanuts","Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos","1,600"
The Pallet,No,Yes,4.5,2745,080 49652944,Whitefield,"Microbrewery, Pub","Craft Beer, Wine, Chilli Chicken, Wedges, Lamb, Cocktails, Masala Peanuts","Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos","1,600"
The Pallet,No,Yes,4.5,2745,080 49652944,Whitefield,"Microbrewery, Pub","Craft Beer, Wine, Chilli Chicken, Wedges, Lamb, Cocktails, Masala Peanuts","Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos","1,600"
Cafe Azzure,Yes,Yes,4.2,2733,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.2,2729,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.2,2729,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Vapour Brewpub and Diner,No,Yes,4.6,2726,080 49653047,Sarjapur Road,"Microbrewery, Pub","Cheese Pasta, Cocktails, Stout, Bruschettas, Craft Beer, Pinacolada, Wheat Beer","North Indian, Continental, Italian","1,400"
Vapour Brewpub and Diner,No,Yes,4.6,2726,080 49653047,Sarjapur Road,"Microbrewery, Pub","Cheese Pasta, Cocktails, Stout, Bruschettas, Craft Beer, Pinacolada, Wheat Beer","North Indian, Continental, Italian","1,400"
Cafe Azzure,Yes,Yes,4.2,2720,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.2,2720,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.2,2720,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2717,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2710,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2709,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2709,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Mr. Beans - Home Cafe,Yes,Yes,4.2,2709,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Cafe Azzure,Yes,Yes,4.3,2671,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2671,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2671,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2669,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2669,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2669,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2664,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2664,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2660,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200"
Cafe Azzure,Yes,Yes,4.3,2654,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Thick Shakes","Cafe, Continental, Italian, Burger","1,200"
Onesta,Yes,Yes,4.4,2640,+91 8904001530,Kammanahalli,"Casual Dining, Cafe","Chicken Tikka Pizza, Ricotta Ravioli, Paneer Tikka Pizza, Pasta, Pepperoni, Barbeque Chicken, Mocktails","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,2589,+91 8904001530,Kammanahalli,"Casual Dining, Cafe","Roast Chicken Pizza, Ricotta Ravioli, Pasta, Berryblast, Paneer Tikka Pizza, Barbeque Chicken Pizza, Mocktails","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,2589,+91 8904001530,Kammanahalli,"Casual Dining, Cafe","Roast Chicken Pizza, Ricotta Ravioli, Pasta, Berryblast, Paneer Tikka Pizza, Barbeque Chicken Pizza, Mocktails","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,2589,+91 8904001530,Kammanahalli,"Casual Dining, Cafe","Roast Chicken Pizza, Ricotta Ravioli, Pasta, Berryblast, Paneer Tikka Pizza, Barbeque Chicken Pizza, Mocktails","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,2589,+91 8904001530,Kammanahalli,"Casual Dining, Cafe","Roast Chicken Pizza, Ricotta Ravioli, Pasta, Berryblast, Paneer Tikka Pizza, Barbeque Chicken Pizza, Mocktails","Pizza, Cafe, Italian",600
Onesta,Yes,Yes,4.4,2589,+91 8904001530,Kammanahalli,"Casual Dining, Cafe","Roast Chicken Pizza, Ricotta Ravioli, Pasta, Berryblast, Paneer Tikka Pizza, Barbeque Chicken Pizza, Mocktails","Pizza, Cafe, Italian",600
Deja Vu Resto Bar,Yes,Yes,4.4,2511,080 49652734,Bannerghatta Road,Pub,"Gajar Ka Halwa, Custard, Hara Bhara Kebab, Brownie, Sev Puri, Pasta, Paan Ice Cream","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2510,080 49652734,Bannerghatta Road,Pub,"Gajar Ka Halwa, Custard, Hara Bhara Kebab, Brownie, Sev Puri, Pasta, Paan Ice Cream","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2499,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Hara Bhara Kebab, Custard, Brownie, Pasta, Sev Puri, Paan Ice Cream","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2496,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2496,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Hara Bhara Kebab, Custard, Brownie, Pasta, Sev Puri, Paan Ice Cream","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2496,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2496,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2496,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2496,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2493,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2493,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2493,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2493,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2493,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2488,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2487,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Deja Vu Resto Bar,Yes,Yes,4.4,2487,+91 9632499855,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900
Barebones - The Balcony Bar,No,Yes,4.2,2445,080 49652591,Indiranagar,"Bar, Casual Dining","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","Chinese, Continental, Finger Food, Italian","1,500"
Barebones - The Balcony Bar,No,Yes,4.2,2445,080 49652591,Indiranagar,"Bar, Casual Dining","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","Chinese, Continental, Finger Food, Italian","1,500"
Barebones - The Balcony Bar,No,Yes,4.2,2445,080 49652591,Indiranagar,"Bar, Casual Dining","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","Chinese, Continental, Finger Food, Italian","1,500"
Brewklyn Microbrewery,Yes,Yes,4.4,2329,080 49653123,Kalyan Nagar,"Microbrewery, Casual Dining","Pizza, Beef Chilli, Craft Beer, Apple Crumble, Pork Chilli, Chips, Wheat Beer","American, South Indian, Thai, Pizza, Italian","1,400"
Brewklyn Microbrewery,Yes,Yes,4.4,2329,080 49653123,Kalyan Nagar,"Microbrewery, Casual Dining","Pizza, Beef Chilli, Craft Beer, Apple Crumble, Pork Chilli, Chips, Wheat Beer","American, South Indian, Thai, Pizza, Italian","1,400"
Brewklyn Microbrewery,Yes,Yes,4.4,2329,080 49653123,Kalyan Nagar,"Microbrewery, Casual Dining","Pizza, Beef Chilli, Craft Beer, Apple Crumble, Pork Chilli, Chips, Wheat Beer","American, South Indian, Thai, Pizza, Italian","1,400"
Brewklyn Microbrewery,Yes,Yes,4.4,2329,080 49653123,Kalyan Nagar,"Microbrewery, Casual Dining","Pizza, Beef Chilli, Craft Beer, Apple Crumble, Pork Chilli, Chips, Wheat Beer","American, South Indian, Thai, Pizza, Italian","1,400"
Chavadi,Yes,Yes,4.4,2241,080 49653031,Bannerghatta Road,"Casual Dining, Bar","Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles","Continental, North Indian, Pizza, Italian","1,200"
