Restaurant Name,Location,Contact Number/s,Restaurant Type,Rating,Cuisines Available,Most Liked Dishes,Table Booking Facility?
Chavadi,Bannerghatta Road,080 49653031,"Casual Dining, Bar",4.4/5,"Continental, North Indian, Pizza, Italian","Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles",Yes
Punjabi Times,Bannerghatta Road,080 49652597,Casual Dining,4.1/5,North Indian,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha",Yes
Crumb Together,JP Nagar,080 49652428,"Casual Dining, Bar",4.1/5,"Continental, Finger Food, North Indian, Chinese","Stuffed Chicken, Malai Broccoli, Cocktails, Salad, Mocktails, Tomato Soup, Biryani",Yes
Two Friends Cauldron,JP Nagar,080 49652809,Casual Dining,4.1/5,"Continental, Italian, American","Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",Yes
Chicken Man,JP Nagar,+91 8042005011,Quick Bites,3.8/5,"Roast Chicken, Burger","Chicken Grill, Roast Chicken, Chicken Wings, Sweet Potato Mash, Pulled Chicken Burger, Sweet Potato Fries",Yes
Nandhana Palace,Bannerghatta Road,080 49653162,"Casual Dining, Bar",4.1/5,"Andhra, Biryani, North Indian, Chinese","Chicken Guntur, Hyderabadi Chicken Biryani, Andhra Meal, Mutton Biryani, Vegetable Biryani, Andhra Style Chilli Chicken, Mojito",Yes
Aramane Restaurant,Bannerghatta Road,+91 8043027998,Casual Dining,2.9/5,"North Indian, South Indian, Seafood, Biryani, Chinese",Afghan Chicken,Yes
Caffe Pascucci,JP Nagar,080 41200431,Casual Dining,4.0/5,"Continental, Italian, Beverages","Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas",Yes
Mudpipe Cafe,JP Nagar,+91 9448056565,Cafe,3.9/5,"Cafe, Continental, North Indian","Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers",Yes
Melt - Eden Park,JP Nagar,+91 9606487102,Casual Dining,4.0/5,"North Indian, Chinese, Thai, Mughlai, Seafood","Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles",Yes
Deja Vu Resto Bar,Bannerghatta Road,+91 9632499855,Pub,4.4/5,"North Indian, Italian","Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta",Yes
Bottle Breacher,JP Nagar,+91 9482512009,"Casual Dining, Pub",4.1/5,"Italian, Continental","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos",Yes
Kesariya,JP Nagar,080 49653516,Casual Dining,4.2/5,Rajasthani,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",Yes
Two Friends Cauldron,JP Nagar,080 49652809,Casual Dining,4.1/5,"Continental, Italian, American","Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",Yes
Punjabi Times,Bannerghatta Road,080 49652597,Casual Dining,4.1/5,North Indian,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha",Yes
Marwa Restaurant,Bannerghatta Road,080 49653014,Casual Dining,3.5/5,"North Indian, Chinese, Fast Food, BBQ","Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry",Yes
Aramane Restaurant,Bannerghatta Road,+91 8043027998,Casual Dining,2.9/5,"North Indian, South Indian, Seafood, Biryani, Chinese",Afghan Chicken,Yes
Brahma Brews,JP Nagar,080 49653204,"Microbrewery, Casual Dining",0/5,"Continental, South Indian, Finger Food, Pizza, Seafood","Beer, Cocktails, Pizza, Peri Chicken, Belgian Wit, Neer Dosa, Cheese Balls",Yes
Levitate Brewery and Kitchen,JP Nagar,080 49653113,"Microbrewery, Casual Dining",0/5,"Finger Food, North Indian, Continental","Wheat Beer, Lager, Paneer Lollipop, Rustica Pizza, Dark Beer, Mocktails, Cocktails",Yes
Barbeque Nation,JP Nagar,+91 8064806060,Casual Dining,4.7/5,"North Indian, European, Mediterranean, BBQ, Kebab","Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta",Yes
Three Dots & A Dash,JP Nagar,080 49652186,"Bar, Casual Dining",4.3/5,"European, Continental","Cocktails, Pizza, Burgers, Pasta, Coconut Chicken, Mocktails, Nachos",Yes
Hunger Camp,JP Nagar,080 45128824,Casual Dining,4.6/5,"North Indian, South Indian, Chinese, Seafood","Tandoori Chicken, Chicken Sukha, Chicken Biryani, Neer Dosa, Dal Makhani, Mutton Biryani, Paneer Tikka Masala",Yes
Kesariya,JP Nagar,080 49653516,Casual Dining,4.2/5,Rajasthani,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",Yes
55 Wall Street,JP Nagar,080 49652101,Bar,3.9/5,"Finger Food, North Indian, Chinese","Cocktails, Beer, Bloody Mary, Pasta, Pizza, Burgers, Nachos",Yes
Crumb Together,JP Nagar,080 49652428,"Casual Dining, Bar",4.1/5,"Continental, Finger Food, North Indian, Chinese","Stuffed Chicken, Malai Broccoli, Cocktails, Salad, Mocktails, Tomato Soup, Biryani",Yes
Two Friends Cauldron,JP Nagar,080 49652809,Casual Dining,4.1/5,"Continental, Italian, American","Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",Yes
Bottle Breacher,JP Nagar,+91 9482512009,"Casual Dining, Pub",4.1/5,"Italian, Continental","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos",Yes
Caffe Pascucci,JP Nagar,080 41200431,Casual Dining,4.0/5,"Continental, Italian, Beverages","Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas",Yes
Melt - Eden Park,JP Nagar,+91 9606487102,Casual Dining,4.0/5,"North Indian, Chinese, Thai, Mughlai, Seafood","Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles",Yes
Mudpipe Cafe,JP Nagar,+91 9448056565,Cafe,3.9/5,"Cafe, Continental, North Indian","Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers",Yes
Levitate Brewery and Kitchen,JP Nagar,080 49653113,"Microbrewery, Casual Dining",0/5,"Finger Food, North Indian, Continental","Wheat Beer, Lager, Paneer Lollipop, Rustica Pizza, Dark Beer, Mocktails, Cocktails",Yes
Brahma Brews,JP Nagar,080 49653204,"Microbrewery, Casual Dining",0/5,"Continental, South Indian, Finger Food, Pizza, Seafood","Beer, Cocktails, Pizza, Peri Chicken, Belgian Wit, Neer Dosa, Cheese Balls",Yes
Deja Vu Resto Bar,Bannerghatta Road,+91 9632499855,Pub,4.4/5,"North Indian, Italian","Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta",Yes
Chavadi,Bannerghatta Road,080 49653031,"Casual Dining, Bar",4.4/5,"Continental, North Indian, Pizza, Italian","Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles",Yes
55 Wall Street,JP Nagar,080 49652101,Bar,3.9/5,"Finger Food, North Indian, Chinese","Cocktails, Beer, Bloody Mary, Pasta, Pizza, Burgers, Nachos",Yes
Crumb Together,JP Nagar,080 49652428,"Casual Dining, Bar",4.1/5,"Continental, Finger Food, North Indian, Chinese","Stuffed Chicken, Malai Broccoli, Cocktails, Salad, Mocktails, Tomato Soup, Biryani",Yes
Bottle Breacher,JP Nagar,+91 9482512009,"Casual Dining, Pub",4.1/5,"Italian, Continental","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos",Yes
Subz,Jayanagar,080 49652607,Casual Dining,4.2/5,"North Indian, South Indian","Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries",Yes
Fusion Theory,Jayanagar,080 49653171,Casual Dining,0/5,"Chinese, Continental, North Indian, South Indian, Beverages","Aam Panna, Pasta, Paneer Tikka, Biryani, Pav Bhaji, Veg Pulao, Nachos",Yes
The Yellow Chilli,Jayanagar,080 41712345,Casual Dining,3.8/5,"North Indian, Mughlai, Biryani","Spring Roll, Tomato Soup, Mocktails, Sweet Corn Soup, Gulab Jamun, Roti, Paneer Tikka",Yes
Tea Villa Cafe,Jayanagar,080 49653143,"Cafe, Casual Dining",4.3/5,"Cafe, Continental, Mediterranean, Italian, Desserts","Tea, Waffles, Coffee, Nutella Waffle, Pizza, Wedges, Pasta",Yes
Cafe Cosy,Jayanagar,080 49653354,Cafe,4.1/5,"Cafe, Chinese, Continental, Fast Food","Pasta, Pizza, Mocktails",Yes
Onesta,Basavanagudi,+91 8049525686,"Casual Dining, Cafe",4.6/5,"Pizza, Cafe, Italian","Barbeque Chicken Pizza, Mushroom Ravioli, Pasta, Lasagne, Berryblast, Mocktails, Potato Wedges",Yes
Go Native,Jayanagar,080 49653539,"Casual Dining, Cafe",4.3/5,"Healthy Food, Cafe, Beverages","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav",Yes
Cafe Shuffle,Banashankari,+91 9742166777,Cafe,4.2/5,"Cafe, Italian, Continental","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",Yes
Krazzy Folds,Jayanagar,080 49652953,Cafe,4.2/5,"Cafe, Continental, Sandwich, Beverages","Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros",Yes
Grazers,Jayanagar,080 26650668,Cafe,3.9/5,"Cafe, Burger, Continental, Italian, Desserts","Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",Yes
Sri Udupi Food Hub,Jayanagar,+91 9916866033,Casual Dining,4.1/5,"South Indian, North Indian, Chinese, Beverages","Filter Coffee, Masala Dosa, Idli, Vada",Yes
Grazers,Jayanagar,080 26650668,Cafe,3.9/5,"Cafe, Burger, Continental, Italian, Desserts","Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",Yes
Patio 805,Jayanagar,+91 8884999805,Casual Dining,4.1/5,"Thai, Vietnamese, Asian, Chinese","Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",Yes
Vinny's,Banashankari,080 26716795,Casual Dining,4.2/5,"Pizza, Italian, Continental, Desserts","Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",Yes
Stories,JP Nagar,080 49653116,"Pub, Casual Dining",4.2/5,"American, Chinese, Continental, North Indian","Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea",Yes
Protein Grillhouse,Jayanagar,080 49652878,Casual Dining,4.2/5,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts","Rice Bowl, Salads, Burgers, Prawn, Pancakes, Salmon, Fish",Yes
LIT Gastro Pub,Jayanagar,+91 9739380630,Pub,3.8/5,"Chinese, Continental, Burger, Pizza","Mocktails, Cocktails, Beer, Hot Wings, Pasta",Yes
Go Native,Jayanagar,080 49653539,"Casual Dining, Cafe",4.3/5,"Healthy Food, Cafe, Beverages","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav",Yes
Cafe Shuffle,Banashankari,+91 9742166777,Cafe,4.2/5,"Cafe, Italian, Continental","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",Yes
Mudpipe Cafe,BTM,+91 9631220007,Cafe,4.5/5,"Cafe, Continental, Burger","Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta",Yes
Brew Meister,Jayanagar,080 49652498,"Microbrewery, Casual Dining",4.1/5,"North Indian, Continental, Finger Food, American, Asian","Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav",Yes
Sea Spice by 7 Star,Banashankari,080 49653393,Casual Dining,4.0/5,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry",Yes
Euki,Jayanagar,080 41315550,Casual Dining,4.1/5,"Italian, Mexican","Pasta, Pizza, Nachos, Tiramisu, Peri Peri Fries, Mexican Bowl, Mocktails",Yes
Krazzy Folds,Jayanagar,080 49652953,Cafe,4.2/5,"Cafe, Continental, Sandwich, Beverages","Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros",Yes
Red Onion,Shanti Nagar,+91 8867253669,Casual Dining,4.3/5,"Chinese, North Indian, Biryani, Kebab","Fish, Dumplings, Biryani, Paneer Tikka Masala, Manchow Soup, Chicken Wings, Chop Suey",Yes
The Yellow Chilli,Jayanagar,080 41712345,Casual Dining,3.8/5,"North Indian, Mughlai, Biryani","Spring Roll, Tomato Soup, Mocktails, Sweet Corn Soup, Gulab Jamun, Roti, Paneer Tikka",Yes
Subz,Jayanagar,080 49652607,Casual Dining,4.2/5,"North Indian, South Indian","Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries",Yes
Cable Car,Jayanagar,080 45128610,Casual Dining,4.4/5,"North Indian, Italian","Pasta, Salads, Mocktails, Paneer Tikka, Biryani, Falafel, Naan",Yes
The Lounge - Eden Park Restaurants,Jayanagar,+91 8880845845,Lounge,3.7/5,"North Indian, Afghani","Mutton Biryani, Mojito, Dal Makhani, Cocktails, Raita",Yes
Parika Multicuisine Restaurant,Richmond Road,080 49652474,Casual Dining,3.8/5,"North Indian, Chinese, Mughlai","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",Yes
Cafe Cosy,Jayanagar,080 49653354,Cafe,4.1/5,"Cafe, Chinese, Continental, Fast Food","Pasta, Pizza, Mocktails",Yes
Tea Villa Cafe,Jayanagar,080 49653143,"Cafe, Casual Dining",4.3/5,"Cafe, Continental, Mediterranean, Italian, Desserts","Tea, Waffles, Coffee, Nutella Waffle, Pizza, Wedges, Pasta",Yes
Onesta,Basavanagudi,+91 8049525686,"Casual Dining, Cafe",4.6/5,"Pizza, Cafe, Italian","Barbeque Chicken Pizza, Mushroom Ravioli, Pasta, Lasagne, Berryblast, Mocktails, Potato Wedges",Yes
Gufha - The President Hotel,Jayanagar,080 49652973,Casual Dining,4.1 /5,"North Indian, Mughlai, Afghan","Cocktails, Paneer Tikka, Masala Papad, Rasmalai, Rabri, Chicken Curry, Biryani",Yes
Go Native,Jayanagar,080 49653539,"Casual Dining, Cafe",4.3 /5,"Healthy Food, Cafe, Beverages","Salad, Thali, Pumpkin Soup, Millet Pizza, Misal Pav, Mushroom Soup, Chaat",Yes
Once Upon a Rooftop,Jayanagar,080 49652842,"Casual Dining, Bar",4.3 /5,"Pizza, Italian, Chinese, Thai","Pizza, Cocktails, Pasta, Churros, Mushroom Soup, Mocktails, Panna Cotta",Yes
Fusion Theory,Jayanagar,080 49653171,Casual Dining,4.1 /5,"Continental, Biryani, Desserts, Italian, North Indian, Chinese, Modern Indian, Asian","Pasta, Mocktails, Paneer Tikka, Chinese Bhel, Biryani, Aam Panna, Panipuri",Yes
Andhra Ruchulu,Jayanagar,080 45128806,"Casual Dining, Bar",4.1 /5,"Andhra, Biryani, North Indian, Chinese","Chicken Sholay, Chicken Biryani, Andhra Meal, Mutton Biryani, Chicken Guntur, Andhra Thali, Guava Ice Cream",Yes
Brew Meister,Jayanagar,080 45128685,"Microbrewery, Casual Dining",4.1 /5,"North Indian, Continental, Finger Food, American, Asian","Cocktails, Paneer Tikka, Corn Paratha, Mocktails, Pesto Pasta, Wheat Beer, Misal Pav",Yes
Cafe Cosy,Jayanagar,080 49653354,Cafe,4.1/5,"Cafe, Chinese, Continental, Fast Food","Pasta, Pizza, Mocktails",Yes
Patio 805,Jayanagar,+91 8884999805,Casual Dining,4.1/5,"Thai, Vietnamese, Asian, Chinese","Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",Yes
Vinny's,Banashankari,080 26716795,Casual Dining,4.2/5,"Pizza, Italian, Continental, Desserts","Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",Yes
Cafe Shuffle,Banashankari,+91 9742166777,Cafe,4.2/5,"Cafe, Italian, Continental","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",Yes
Krazzy Folds,Jayanagar,080 49652953,Cafe,4.2/5,"Cafe, Continental, Sandwich, Beverages","Pasta, Tacos, Macaroni, Panna Cotta, Salads, Spaghetti, Churros",Yes
Golden Oak - La Marvella Sarovar Premiere Hotel,Jayanagar,080 49653191,Casual Dining,4.0/5,"North Indian, Continental, Chinese, South Indian","Salads, Tiramisu, Rasmalai, Biryani, Lunch Buffet, Roti, Chaat",Yes
Euki,Jayanagar,080 41315550,Casual Dining,4.1/5,"Italian, Mexican","Pasta, Pizza, Nachos, Tiramisu, Peri Peri Fries, Mexican Bowl, Mocktails",Yes
The Lounge - Eden Park Restaurants,Jayanagar,+91 8880845845,Lounge,3.7/5,"North Indian, Afghani","Mutton Biryani, Mojito, Dal Makhani, Cocktails, Raita",Yes
Grazers,Jayanagar,080 26650668,Cafe,3.9/5,"Cafe, Burger, Continental, Italian, Desserts","Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",Yes
The Yellow Chilli,Jayanagar,080 41712345,Casual Dining,3.8/5,"North Indian, Mughlai, Biryani","Spring Roll, Tomato Soup, Mocktails, Sweet Corn Soup, Gulab Jamun, Roti, Paneer Tikka",Yes
Once Upon a Rooftop,Jayanagar,080 49653552,"Casual Dining, Bar",4.3/5,"Pizza, Italian, Chinese, Thai","Pizza, Cocktails, Pasta, Churros, Mocktails, Mushroom Soup, Long Island Iced Tea",Yes
Brew Meister,Jayanagar,080 49652498,"Microbrewery, Casual Dining",4.1/5,"North Indian, Continental, Finger Food, American, Asian","Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav",Yes
The Lounge - Eden Park Restaurants,Jayanagar,+91 8880845845,Lounge,3.7/5,"North Indian, Afghani","Mutton Biryani, Mojito, Dal Makhani, Cocktails, Raita",Yes
The Fisherman's Wharf,Sarjapur Road,080 49653108,"Casual Dining, Bar",4.4/5,"Seafood, Goan, North Indian, Continental, Asian","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",Yes
Tipsy Bull - The Bar Exchange,Bellandur,080 49653133,"Bar, Casual Dining",4.4/5,"North Indian, Chinese, Continental, Mexican","Falafel, Cocktails, Mocktails, Sea Food, Spring Roll, Mutton Pepper Fry, Pasta",Yes
Punjabi Times,Bellandur,080 49653379,"Casual Dining, Bar",4.1/5,North Indian,"Papdi Chaat, Thandai, Chole Bhature, Lassi, Paan Ice Cream, Mutton Curry, Raita",Yes
The Black Pearl,Marathahalli,080 49653069,"Casual Dining, Bar",4.8/5,"North Indian, European, Mediterranean, BBQ","Dahipuri, Jal-jeera, Chicken Grill, Mutton Seekh Kabab, Rasmalai, Mutton Curry, Mutton Kebab",Yes
The Fisherman's Wharf,Sarjapur Road,080 49653108,"Casual Dining, Bar",4.4/5,"Seafood, Goan, North Indian, Continental, Asian","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",Yes
AB's - Absolute Barbecues,Sarjapur Road,040 45659915,Casual Dining,4.7/5,"European, Mediterranean, North Indian, BBQ","Fish, Salad, Paan Ice Cream, Mocktails, Chicken Curry, Phirni, Panneer Butter Masala",Yes
The Hidden Home,Sarjapur Road,080 49653432,Casual Dining,4.3/5,"Asian, Chinese, Continental, North Indian, South Indian","Brownie Chocolate, Manchow Soup, Jalebi, Rabri, Mocktails, Beer, Tandoori Chicken",Yes
Xtreme Sports Bar,Sarjapur Road,080 49653459,Pub,4.0/5,"Continental, Chinese, North Indian","Lunch Buffet, Boti Kebab, Beer, Potato Wedges, Gulab Jamun, Pizza, Club Sandwich",Yes
Cafe Thulp,Bellandur,080 41129702,Cafe,4.0/5,"Cafe, Burger, Italian, Salad","Burgers, Fries, Beef Burger, Pasta, Salad, Mudpie, Falafel Burger",Yes
Bathinda Junction,HSR,+91 8095766619,Casual Dining,4.0/5,North Indian,"Lassi, Butter Chicken, Sarson Ka Saag, Rajma Chawal, Naan, Chicken Handi, Chicken Rara",Yes
Onesta,HSR,+91 7337844620,"Casual Dining, Cafe",4.4/5,"Pizza, Cafe, Italian","Banana Smoothie, Chocolate Pizza, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli",Yes
Bahar Cafe,Marathahalli,080 45128790,Casual Dining,4.0/5,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian","Chicken Biryani, Hyderabadi Biryani, Butter Naan, Vegetable Biryani, Ulvacharu Biryani, Mutton Biryani, Raita",Yes
The Fisherman's Wharf,Sarjapur Road,080 49653108,"Casual Dining, Bar",4.4/5,"Seafood, Goan, North Indian, Continental, Asian","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",Yes
The Hidden Home,Sarjapur Road,080 49653432,Casual Dining,4.3/5,"Asian, Chinese, Continental, North Indian, South Indian","Brownie Chocolate, Manchow Soup, Jalebi, Rabri, Mocktails, Beer, Tandoori Chicken",Yes
Byg Brewski Brewing Company,Sarjapur Road,+91 8039514766,Microbrewery,4.9/5,"Continental, North Indian, Italian, South Indian, Finger Food","Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish",Yes
Dhaba Estd 1986 Delhi,Marathahalli,+91 9606463631,"Casual Dining, Bar",4.4/5,North Indian,"Mutton Curry, Lassi, Dal Makhani, Chicken Butter Masala, Pav Bhaji, Chicken Curry, Paneer Tikka",Yes
Manchow,Bellandur,080 49652861,Casual Dining,3.8/5,"Chinese, Asian, Momos","Veg Manchow Soup, Garlic Butter Noodle, Chop Suey, Chicken Dim Sum",Yes
La Casa Brewery And Kitchen,Sarjapur Road,080 49653309,"Microbrewery, Casual Dining",4.4/5,"Finger Food, Continental, Seafood","Salads, Wheat Beer, Craft Beer, Pepperoni Pizza, Prawn Ghee Roast, Cocktails, Curry Leaf Chicken",Yes
